file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorParadas.java,died.izaguirre.haulet.tp.controladores.ControladorParadas,class,10,20,10,10,27,1,0,53,91,0.8097826,0.16666667,0.37878788,23,3,12,11,0,0,12,0,0,0,8,2,0,8,0,0,0,0,5,188,12,1,1,0,0,10,6,29,2,24,1,5,0,2,86,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\incidencias\CrearIncidencia.java,died.izaguirre.haulet.tp.gui.incidencias.CrearIncidencia$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\estructuras\monticulo\Monticulo.java,died.izaguirre.haulet.tp.estructuras.monticulo.Monticulo,class,2,4,2,2,14,1,0,9,0,0.0,1.0,1.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,57,3,3,1,0,2,0,21,18,13,10,4,0,0,0,27,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\incidencias\CrearIncidencia.java,died.izaguirre.haulet.tp.gui.incidencias.CrearIncidencia$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\incidencias\CrearIncidencia.java,died.izaguirre.haulet.tp.gui.incidencias.CrearIncidencia$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\PrincipalPanel.java,died.izaguirre.haulet.tp.gui.principal.PrincipalPanel$Anonymous18,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\PrincipalPanel.java,died.izaguirre.haulet.tp.gui.principal.PrincipalPanel$Anonymous17,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\PrincipalPanel.java,died.izaguirre.haulet.tp.gui.principal.PrincipalPanel$Anonymous16,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\PrincipalPanel.java,died.izaguirre.haulet.tp.gui.principal.PrincipalPanel$Anonymous15,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\PrincipalPanel.java,died.izaguirre.haulet.tp.gui.principal.PrincipalPanel$Anonymous14,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorCrearParada.java,died.izaguirre.haulet.tp.controladores.ControladorCrearParada$Anonymous1,anonymous,0,0,0,0,4,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,4,0,0,1,0,1,1,0,0,0,6,-1,0
