file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton3MouseClicked/1[java.awt.event.MouseEvent],false,169,5,9,1,8,2,11,14,0,3,1,11,1,1,1,0,0,0,8,1,4,0,1,0,0,0,22,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton2MouseClicked/1[java.awt.event.MouseEvent],false,152,5,10,1,9,2,12,14,0,3,1,12,1,1,1,0,0,0,9,1,4,0,1,0,0,0,22,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,ReportUI/0,true,20,1,3,1,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,initComponents/0,false,27,2,2,1,1,1,38,57,0,3,0,38,0,0,0,0,0,0,10,31,13,0,0,3,0,0,37,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,setVisibilityOfTotalAmountTextBoxes/1[boolean],false,199,0,4,4,0,2,1,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\SellUI.java,UI.SellUI,populateProductListComboBox/0,false,182,1,4,2,2,2,3,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\SellUI.java,UI.SellUI,initComponents/0,false,26,3,2,1,1,1,36,41,0,3,0,36,0,0,0,0,0,0,9,21,13,0,0,1,0,0,41,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\SellUI.java,UI.SellUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],false,134,6,11,1,10,6,14,33,2,4,1,14,1,1,0,1,1,0,8,2,4,0,2,0,0,0,36,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\SellUI.java,UI.SellUI,SellUI/0,true,19,1,3,1,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI,showShortageProducts/0,false,236,2,7,1,6,3,9,10,0,1,0,9,0,0,1,0,0,0,6,0,1,0,2,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI,ProductSetupAndViewStockUI/0,true,16,1,3,1,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],false,170,4,10,1,9,5,12,30,0,4,1,12,1,1,0,0,1,0,10,2,4,0,2,0,0,0,24,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI,jRadioButton1MouseClicked/1[java.awt.event.MouseEvent],false,212,1,2,1,1,1,2,5,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI,initComponents/0,false,23,0,2,1,1,1,37,61,0,2,0,37,0,0,0,0,0,0,11,25,16,0,0,3,0,0,49,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI,updateProductListBox/0,false,226,2,9,3,6,2,9,8,0,1,0,9,0,0,1,0,0,0,6,0,1,0,1,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ProductSetupAndViewStockUI.java,UI.ProductSetupAndViewStockUI,jRadioButton2MouseClicked/1[java.awt.event.MouseEvent],false,219,1,2,1,1,1,2,5,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\SellUI.java,UI.SellUI$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],false,57,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Product.java,BO.Product,setName/1[java.lang.String],false,16,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Product.java,BO.Product,setCode/1[java.lang.String],false,24,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Product.java,BO.Product,getTotalQuantity/0,false,28,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Product.java,BO.Product,getReorderLevel/0,false,36,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
